WordnetID	count	Synsets	Definition
n07202391	264227	portrayal,portraiture,portrait	a word picture of a person's appearance and character
n09217230	160647	beach	an area of sand sloping down to the water of a sea or lake
n12454159	5520	tulip	any of numerous perennial bulbous herbs having linear or broadly lanceolate leaves and usually a single showy flower
n08619620	71857	public_square,square	an open area at the meeting of two or more streets
n07997703	11285	class,category,family	a collection of things sharing a common attribute
n05297523	149791	organ	a fully differentiated structural and functional unit in an animal that is specialized for some particular function
n07202579	40446	label	a brief description given for purposes of identification
n10714465	72819	toddler,yearling,tot,bambino	a young child
n01063234	3432	spring_break	a week or more of recess during the spring term at school
n01662784	4087	turtle	any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
n03783873	5504	monoplane	an airplane with a single wing
n04426788	5166	thread,yarn	a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
n04088797	2749	ride	a mechanical device that you ride for amusement or excitement
n12142085	2384	wheat	annual or biennial grass having erect flower spikes and light brown grains
n08672562	240212	settlement	an area where a group of families live together
n08307589	51466	meeting,group_meeting	a formally arranged gathering
n04583620	10852	widebody_aircraft,wide-body_aircraft,wide-body,twin-aisle_airplane	a commercial airliner with two aisles
n07580053	2579	side_dish,side_order,entremets	a dish that is served with, but is subordinate to, a main course
n03329663	19754	ferry,ferryboat	a boat that transports people or vehicles across a body of water and operates on a regular schedule
n02948072	5075	candle,taper,wax_light	stick of wax with a wick in the middle
n06471345	2765	certificate,certification,credential,credentials	a document attesting to the truth of certain stated facts
n10223177	10494	jockey	someone employed to ride horses in horse races
n09233446	19297	canyon,canon	a ravine formed by a river in an area with little rainfall
n03497657	10278	hat,chapeau,lid	headdress that protects the head from bad weather; has shaped crown and usually a brim
n09215664	179289	bay,embayment	an indentation of a shoreline larger than a cove but smaller than a gulf
n09341987	86347	loch	a long narrow inlet of the sea in Scotland (especially when it is nearly landlocked)
n02129165	4180	lion,king_of_beasts,Panthera_leo	large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
n02756098	3514	attire,garb,dress	clothing of a distinctive style or for a particular occasion
n07480068	70381	emotion	any strong feeling
n13565622	3460	tanning	process in which skin pigmentation darkens as a result of exposure to ultraviolet light
n04520480	11778	van	(Great Britain) a closed railroad car that carries baggage or freight
n07575726	29472	dinner	the main meal of the day served in the evening or at midday
n13129165	89145	stalk,stem	a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n03569964	207871	infrastructure,base	the stock of basic facilities and capital equipment needed for the functioning of a country or area
n03378005	4274	food_court	an area (as in a shopping mall) where fast food is sold (usually around a common eating area)
n04401088	5842	telephone,phone,telephone_set	electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
n03397412	4321	frigate	a medium size square-rigged warship of the 18th and 19th centuries
n10297234	3914	mascot	a person or animal that is adopted by a team or other group as a symbolic figure
n06095022	12018	astronomy,uranology	the branch of physics that studies celestial bodies and the universe as a whole
n04105893	180649	room	an area within a building enclosed by walls and floor and ceiling
n02279972	4106	monarch,monarch_butterfly,milkweed_butterfly,Danaus_plexippus	large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
n07596967	2734	confectionery	candy and other sweets considered collectively
n00300441	11658	air_travel,aviation,air	travel via aircraft
n00300113	3363	trail_riding	riding along a roughly blazed path
n02779435	2475	ball	a spherical object used as a plaything
n02876657	29921	bottle	a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
n12787364	11659	Christmas_bush,Christmas_tree,Ceratopetalum_gummiferum	Australian tree or shrub with red flowers; often used in Christmas decoration
n02281787	8484	lycaenid,lycaenid_butterfly	any of various butterflies of the family Lycaenidae
n13873917	116314	circle	something approximating the shape of a circle
n03719053	38071	mansion,mansion_house,manse,hall,residence	a large and imposing house
n03790512	34935	motorcycle,bike	a motor vehicle with two wheels and a strong frame
n09366762	322584	nature	the natural physical world including plants and animals and landscapes etc.
n06115701	143131	geology	a science that deals with the history of the earth as recorded in rocks
n03686470	3041	loft	floor consisting of a large unpartitioned space over a factory or warehouse or other commercial space
n08199025	64261	military,armed_forces,armed_services,military_machine,war_machine	the military forces of a nation
n02113335	5717	poodle,poodle_dog	an intelligent dog with a heavy curly solid-colored coat that is usually clipped; an old breed sometimes trained as sporting dogs or as performing dogs
n13125117	2418	root	(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
n07019172	127199	musical,musical_comedy,musical_theater	a play or film whose action and dialogue is interspersed with singing and dancing
s02444475	16358	north-polar,Arctic	of or relating to the Arctic
n02070430	4479	porpoise	any of several small gregarious cetacean mammals having a blunt snout and many teeth
n05563770	56204	arm	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n02099712	5734	Labrador_retriever	breed originally from Labrador having a short black or golden-brown coat
n02942699	30548	camera,photographic_camera	equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
n15236859	193405	fall,autumn	the season when the leaves fall from the trees
n13001041	27400	mushroom	common name for an edible agaric (contrasting with the inedible toadstool)
n12581381	55788	Palmae,family_Palmae,Palmaceae,family_Palmaceae,Arecaceae,family_Arecaceae,palm_family	chiefly tropical trees and shrubs and vines usually having a tall columnar trunk bearing a crown of very large leaves; coextensive with the order Palmales
n05841740	10155	Byzantine_architecture	the style of architecture developed in the Byzantine Empire developed after the 5th century; massive domes with square bases and round arches and spires and much use of mosaics
n13118707	3789	subshrub,suffrutex	low-growing woody shrub or perennial with woody base
n02727825	3885	apparatus,setup	equipment designed to serve a specific function
n07887634	2695	lager,lager_beer	a general term for beer made with bottom fermenting yeast (usually by decoction mashing); originally it was brewed in March or April and matured until September
n05849789	61610	feature,characteristic	a prominent attribute or aspect of something
n08926543	4546	Toyota	an industrial city of Japan in southern Honshu
n07620822	29003	frosting,icing,ice	a flavored sugar topping used to coat and decorate cakes
n13121544	3419	aquatic_plant,water_plant,hydrophyte,hydrophytic_plant	a plant that grows partly or wholly in water whether rooted in the mud, as a lotus, or floating without anchorage, as the water hyacinth
n00319312	15955	packing,backpacking	carrying something in a pack on the back
n02002075	2635	stork	large mostly Old World wading birds typically having white-and-black plumage
n04487081	5079	trolleybus,trolley_coach,trackless_trolley	a passenger bus with an electric motor that draws power from overhead wires
n14915184	50596	ice,water_ice	water frozen in the solid state
n12205694	44838	herb,herbaceous_plant	a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
n09218044	7203	bedrock	solid unweathered rock lying beneath surface deposits of soil
n03411339	4503	galleon	a large square-rigged sailing ship with three or more masts; used by the Spanish for commerce and war from the 15th to 18th centuries
n01726692	6984	snake,serpent,ophidian	limbless scaly elongate reptile; some are venomous
n08274354	44582	troop	a group of soldiers
n15008607	4160	rain,rainwater	drops of fresh water that fall as precipitation from clouds
n08613345	20464	silhouette	an outline of a solid object (as cast by its shadow)
n13112664	153081	shrub,bush	a low woody perennial plant usually having several major stems
n08616050	54677	pasture,pastureland,grazing_land,lea,ley	a field covered with grass or herbage and suitable for grazing by livestock
n04380143	5101	tablecloth	a covering spread over a dining table
n05677504	152749	sense	a general conscious awareness
n03001627	11978	chair	a seat for one person, with a support for the back
n00015388	3666	animal,animate_being,beast,brute,creature,fauna	a living organism characterized by voluntary movement
n13007417	4717	oyster_mushroom,oyster_fungus,oyster_agaric,Pleurotus_ostreatus	edible agaric with a soft greyish cap growing in shelving masses on dead wood
n06595351	4165	magazine,mag	a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
n02818832	11611	bed	a piece of furniture that provides a place to sleep
n07977870	11634	library	a collection of literary documents or records kept for reference or borrowing
n08633957	22999	port	a place (seaport or airport) where people and merchandise can enter or leave a country
n08196024	49855	air_force,airforce	the airborne branch of a country's armed forces
n02814860	6570	beacon,lighthouse,beacon_light,pharos	a tower with a light that gives warning of shoals to passing ships
n04417809	40615	theater,theatre,house	a building where theatrical performances or motion-picture shows can be presented
n10480253	55541	professional,professional_person	a person engaged in one of the learned professions
n07843775	8712	dairy_product	milk and butter and cheese
n11485367	284058	sunlight,sunshine,sun	the rays of the sun
n02376542	2375	foal	a young horse
n03461385	11087	grocery_store,grocery,food_market,market	a marketplace where groceries are sold
n00511555	35578	carnival	a festival marked by merrymaking and processions
n00892413	2486	workshop	a brief intensive course for a small group; emphasizes problem solving
n00624738	36153	exercise,exercising,physical_exercise,physical_exertion,workout	the activity of exerting your muscles in various ways to keep fit
n14759722	17042	leather	an animal skin made smooth and flexible by removing the hair and then tanning
n08390511	15298	militia,reserves	civilians trained as soldiers but not part of the regular army
n05256862	135935	hairdo,hairstyle,hair_style,coiffure,coif	the arrangement of the hair (especially a woman's hair)
n05841985	6145	classical_architecture,Greco-Roman_architecture	architecture influenced by the ancient Greeks or Romans
n09359803	269325	mountain,mount	a land mass that projects well above its surroundings; higher than a hill
n02934451	2413	cable_car,car	a conveyance for passengers or freight on a cable railway
n14546432	30674	fitness,physical_fitness	good physical condition; being in shape or in condition
n03871371	2585	package_store,liquor_store,off-licence	a store that sells alcoholic beverages for consumption elsewhere
n09328746	7913	lagoon,laguna,lagune	a body of water cut off from a larger body by a reef of sand or coral
n04508163	6789	undergarment,unmentionable	a garment worn under other garments
n01601550	2513	Cinclidae,family_Cinclidae	water ouzels
n10127273	16709	gentleman	a man of refinement
n07747055	5606	citrus,citrus_fruit,citrous_fruit	any of numerous fruits of the genus Citrus having thick rind and juicy pulp; grown in warm regions
n01905661	119996	invertebrate	any animal lacking a backbone or notochord; the term is not used as a scientific classification
n09448361	59953	stream,watercourse	a natural body of running water flowing on or under the earth
n07993279	338649	fauna,zoology	all the animal life in a particular region or period
n01209576	6256	service	an act of help or assistance
n09587565	9647	fictional_character,fictitious_character,character	an imaginary person represented in a work of fiction (play or film or story)
n07240549	44588	lecture,public_lecture,talk	a speech that is open to the public
n02772197	77296	backyard	the grounds in back of a house
n03543394	11528	hot_rod,hot-rod	a car modified to increase its speed and acceleration
n08226699	71003	village,small_town,settlement	a community of people smaller than a town
n04326547	10455	stone_wall	a fence built of rough stones; used to separate fields
n04251791	4481	snowboard	a board that resembles a broad ski or a small surfboard; used in a standing position to slide down snow-covered slopes
n11453860	3749	event	a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory
n04128837	14429	sailing_vessel,sailing_ship	a vessel that is powered by the wind; often having several masts
n01168569	50344	competition,contention,rivalry	the act of competing as for profit or a prize
n02776631	5530	bakery,bakeshop,bakehouse	a workplace where baked goods (breads and cakes and pastries) are produced or sold
n04451818	5657	tool	an implement used in the practice of a vocation
n02092468	13324	terrier	any of several usually small short-bodied breeds originally trained to hunt animals living underground
n13876371	5990	spiral	a plane curve traced by a point circling about the center but at increasing distances from the center
n09376198	188381	ocean	a large body of water constituting a principal part of the hydrosphere
n06099269	33520	electronics	the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices
n04045397	4929	raft	a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
n13163250	231307	branch	a division of a stem, or secondary stem arising from the main stem of a plant
n04559275	198921	watercourse,waterway	a conduit through which water flows
n01322604	27363	puppy	a young dog
n08425303	21546	traffic	the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
n04072551	3558	rein	one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse
n13621850	4509	pint	a British imperial capacity measure (liquid or dry) equal to 4 gills or 568.26 cubic centimeters
n13252395	8490	hacienda	a large estate in Spanish-speaking countries
n03971218	7849	plywood,plyboard	a laminate made of thin layers of wood
n02743547	899946	art,fine_art	the products of human creativity; works of art collectively
n04188179	7225	sheet,bed_sheet	bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs
n01789064	4580	Galliformes,order_Galliformes	pheasants; turkeys; grouse; partridges; quails; chickens; brush turkeys; curassows; hoatzins
n00441824	29523	water_sport,aquatics	sports that involve bodies of water
n05917994	3837	special_effect	an effect used to produce scenes that cannot be achieved by normal techniques (especially on film)
n11507951	3411	sleet	partially melted snow (or a mixture of rain and snow)
n04522168	3762	vase	an open jar of glass or porcelain used as an ornament or to hold flowers
n07003352	35990	comic_strip,cartoon_strip,strip,funnies	a sequence of drawings telling a story in a newspaper or comic book
n02686121	14868	airbus	a subsonic jet airliner operated over short distances
n01055165	2348	camping,encampment,bivouacking,tenting	the act of encamping and living in tents in a camp
n11978233	4427	sunflower,helianthus	any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays
n07629988	8258	birthday_cake	decorated cake served at a birthday party
n12426248	5826	lily	any liliaceous plant of the genus Lilium having showy pendulous flowers
n04371225	22113	swimming_pool,swimming_bath,natatorium	pool that provides a facility for swimming
n10339966	174219	musician	artist who composes or conducts music as a profession
n01471682	254474	vertebrate,craniate	animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
n03718458	8196	manor,manor_house	the mansion of a lord or wealthy person
n02891788	2531	brass,brass_instrument	a wind instrument that consists of a brass tube (usually of variable length) that is blown by means of a cup-shaped or funnel-shaped mouthpiece
n07594406	2746	delicatessen,delicatessen_food	ready-to-eat food products
n01115162	5251	sell	the activity of persuading someone to buy
n08182379	191825	crowd	a large number of things or people considered together
n08372411	3055	tribe,folk	a social division of (usually preliterate) people
n04096066	293159	road,route	an open way (generally public) for travel or transportation
n14562324	75459	ruin,ruination	an irrecoverable state of devastation and destruction
n02873839	13870	booth,cubicle,stall,kiosk	small area set off by walls for special use
n09444783	7908	star	any celestial body visible (as a point of light) from the Earth at night
n03790230	9223	motorboat,powerboat	a boat propelled by an internal-combustion engine
n09411189	2927	riparian_forest	woodlands along the banks of stream or river
n13896217	2699	crescent	any shape resembling the curved shape of the moon in its first or last quarters
n08433727	78015	aviation,air_power	the aggregation of a country's military aircraft
n03412058	11690	gallery,art_gallery,picture_gallery	a room or series of rooms where works of art are exhibited
n04119751	7381	rundle,spoke,rung	one of the crosspieces that form the steps of a ladder
n03141065	8928	cruiser,police_cruiser,patrol_car,police_car,prowl_car,squad_car	a car in which policemen cruise the streets; equipped with radiotelephonic communications to headquarters
n10201956	6458	impressionist	a painter who follows the theories of Impressionism
n04236377	11481	sleeve,arm	the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
n00924825	6011	fabrication,manufacture,manufacturing	the act of making something (a product) from raw materials
n02726305	4771	apartment,flat	a suite of rooms usually on one floor of an apartment house
n05602548	7025	brow,forehead	the part of the face above the eyes
n04469813	9126	tramway,tram,aerial_tramway,cable_tramway,ropeway	a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers
n09403734	143035	range,mountain_range,range_of_mountains,chain,mountain_chain,chain_of_mountains	a series of hills or mountains
n00463543	13070	ice_hockey,hockey,hockey_game	a game played on an ice rink by two opposing teams of six skaters each who try to knock a flat round puck into the opponents' goal with angled sticks
n15168475	3792	bedtime	the time you go to bed
n00298497	59578	driving	the act of controlling and steering the movement of a vehicle or animal
n05261404	77720	facial_hair	hair on the face (especially on the face of a man)
n02377480	12078	mare,female_horse	female equine animal
n02879087	12935	bouquet,corsage,posy,nosegay	an arrangement of flowers that is usually given as a present
n02129604	3196	tiger,Panthera_tigris	large feline of forests in most of Asia having a tawny coat with black stripes; endangered
n05320899	22917	ear	the sense organ for hearing and equilibrium
n09288635	4478	geyser	a spring that discharges hot water and steam
n02788021	41428	banner,streamer	long strip of cloth or paper used for decoration or advertising
n07941945	34705	biome	a major biotic community characterized by the dominant forms of plant life and the prevailing climate
n03418488	5075	gargoyle	an ornament consisting of a grotesquely carved figure of a person or animal
n13103136	255581	woody_plant,ligneous_plant	a plant having hard lignified tissues or woody parts especially stems
n11939491	43669	daisy	any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
n03925226	344519	photograph,photo,exposure,picture,pic	a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
n00344259	60785	sitting	the act of assuming or maintaining a seated position
n07745940	10197	strawberry	sweet fleshy red fruit
n03502509	9519	headdress,headgear	clothing for the head
n10309614	2634	mercenary,soldier_of_fortune	a person hired to fight for another country than their own
n00522145	27297	exhibition	the act of exhibiting
n09454642	6401	tarn	a mountain lake (especially one formed by glaciers)
n13000372	3678	Agaricaceae,family_Agaricaceae	large family including many familiar mushrooms
n00447540	2698	wrestling,rassling,grappling	the sport of hand-to-hand struggle between unarmed contestants who try to throw each other down
n03642806	7362	laptop,laptop_computer	a portable computer small enough to use in your lap
n05262185	20047	mustache,moustache	an unshaved growth of hair on the upper lip
n02815071	6878	bead	a small ball with a hole through the middle
n03684823	31923	locomotive,engine,locomotive_engine,railway_locomotive	a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks
n14846779	21064	nectar	a sweet liquid secretion that is attractive to pollinators
n04552696	4198	warship,war_vessel,combat_ship	a government ship that is available for waging war
n12212361	73706	vegetable	any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower
n00030358	98838	act,deed,human_action,human_activity	something that people do or cause to happen
n00450700	18667	equestrian_sport	a sport that tests horsemanship
n12387201	6157	Violaceae,family_Violaceae,violet_family	a family of order Parietales including the genera Viola, Hybanthus, Hymenanthera, Melicytus
n07893642	2582	champagne,bubbly	a white sparkling wine either produced in Champagne or resembling that produced there
n02041246	6683	gull,seagull,sea_gull	mostly white aquatic bird having long pointed wings and short legs
n07241837	4932	public_speaking,speechmaking,speaking,oral_presentation	delivering an address to a public audience
n02274259	29316	butterfly	diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
n04194289	62811	ship	a vessel that carries passengers or freight
n00628390	9262	jogging	running at a jog trot as a form of cardiopulmonary exercise
n02777734	6624	balcony	a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet
n08639058	37042	seaport,haven,harbor,harbour	a sheltered port where ships can take on or discharge cargo
n13099833	19879	evergreen,evergreen_plant	a plant having foliage that persists and remains green throughout the year
n14834132	4806	dew	water that has condensed on a cool surface overnight from water vapor in the air
n00283568	72778	walk,walking	the act of traveling by foot
n08614229	8281	paddy,paddy_field,rice_paddy	an irrigated or flooded field where rice is grown
n01821203	7014	parakeet,parrakeet,parroket,paraquet,paroquet,parroquet	any of numerous small slender long-tailed parrots
n01802309	3128	Phasianidae,family_Phasianidae	pheasants; quails; partridges
n03038595	13417	classic	a creation of the highest excellence
n00474568	8714	ball	the game of baseball
n08651832	2410	slum,slum_area	a district of a city marked by poverty and inferior living conditions
n08665281	14034	Torrid_Zone,tropical_zone,tropics	the part of the Earth's surface between the Tropic of Cancer and the Tropic of Capricorn; characterized by a hot climate
n03792782	52659	mountain_bike,all-terrain_bike,off-roader	a bicycle with a sturdy frame and fat tires; originally designed for riding in mountainous country
n05851131	3524	badge	any feature that is regarded as a sign of status (a particular power or quality or rank)
n02926188	6048	bust	a sculpture of the head and shoulders of a person
n08624891	274313	landmark	the position of a prominent or well-known object in a particular landscape
n04399382	2487	teddy,teddy_bear	plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)
n03147509	12904	cup	a small open container usually used for drinking; usually has a handle
n07635155	3123	cookie,cooky,biscuit	any of various small flat sweet cakes (`biscuit' is the British term)
n00299217	5952	riding,horseback_riding	travel by being carried on horseback
n01128137	3732	law_enforcement	ensuring obedience to the laws
n04305323	10899	stately_home	a mansion that is (or formerly was) occupied by an aristocratic family
n07775197	2885	sunflower_seed	edible seed of sunflowers; used as food and poultry feed and as a source of oil
n04969242	10534	azure,cerulean,sapphire,lazuline,sky-blue	a light shade of blue
n03800933	77730	musical_instrument,instrument	any of various devices or contrivances that can be used to produce musical tones or sounds
n08188638	3265	choir	a chorus that sings as part of a religious ceremony
n03322836	14980	farmhouse	house for a farmer and family
n11989869	3760	oxeye_daisy,ox-eyed_daisy,marguerite,moon_daisy,white_daisy,Leucanthemum_vulgare,Chrysanthemum_leucanthemum	tall leafy-stemmed Eurasian perennial with white flowers; widely naturalized; often placed in genus Chrysanthemum
n08152787	8951	clergy	in Christianity, clergymen collectively (as distinguished from the laity)
n08311282	9632	city_council	a municipal body that can pass ordinances and appropriate funds etc.
n03787759	4852	mosaic	art consisting of a design made of small pieces of colored stone or glass
n02687423	35139	aircraft_engine	the engine that powers and aircraft
n10324560	118825	model,poser	a person who poses for a photographer or painter or sculptor
n08309086	105318	convention	a large formal assembly
n09281914	3638	floodplain,flood_plain	a low plain adjacent to a river that is formed chiefly of river sediment and is subject to flooding
n04037625	47619	racetrack,racecourse,raceway,track	a course over which races are run
n11482706	34136	mist	a thin fog with condensation near the ground
n10241300	3478	laborer,manual_laborer,labourer,jack	someone who works with their hands; someone engaged in manual labor
n08559508	207897	home,place	where you live at a particular time
n15155220	49435	day,twenty-four_hours,twenty-four_hour_period,24-hour_interval,solar_day,mean_solar_day	time for Earth to make a complete rotation on its axis
n00293916	24228	run,running	the act of running; traveling on foot at a fast pace
n03417345	192180	garden	a plot of ground where plants are cultivated
n07702509	10110	junk_food	food that tastes good but is high in calories having little nutritional value
n01057200	5004	provision,supply,supplying	the activity of supplying or providing something
n03888257	3180	parachute,chute	rescue equipment consisting of a device that fills with air and retards your fall
n03368141	18070	flower_arrangement,floral_arrangement	a decorative arrangement of flowers
n09436708	281264	sky	the atmosphere and outer space as viewed from the earth
n00122661	6015	shooting,shot	the act of firing a projectile
n03544360	226042	house	a dwelling that serves as living quarters for one or more families
n07314838	3770	calamity,catastrophe,disaster,tragedy,cataclysm	an event resulting in great loss and misfortune
n02360282	3326	chipmunk	a burrowing ground squirrel of western America and Asia; has cheek pouches and a light and dark stripe running down the body
n00237078	55605	constitution,establishment,formation,organization,organisation	the act of forming or establishing something
n06490887	4768	enumeration,numbering	a numbered list
n04964586	9095	magenta	a primary subtractive color for light; a dark purple-red color; the dye for magenta was discovered in 1859, the year of the battle of Magenta
n02324045	7106	rabbit,coney,cony	any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
n07601999	10778	chocolate	a food made from roasted ground cacao beans
n04274530	7042	sphere	any spherically shaped artifact
n00456199	46975	game	a single play of a sport or other contest
n03849814	3073	opera,opera_house	a building where musical dramas are performed
n00715843	46932	baking	making bread or cake or pastry etc.
n03206908	216197	dish	a piece of dishware normally used as a container for holding or serving food
n03006105	29544	channel	a passage for water (or other fluids) to flow through
n07272084	19250	logo,logotype	a company emblem or device
n07890352	2766	stout	a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops
n05261566	28933	beard,face_fungus,whiskers	the hair growing on the lower part of a man's face
n03277771	40284	electronic_device	a device that accomplishes its purpose electronically
n00883297	71049	education,instruction,teaching,pedagogy,didactics,educational_activity	the activities of educating or instructing; activities that impart knowledge or skill
n15137676	25585	leisure,leisure_time	time available for ease and relaxation
