n06845599	258883	"trade_name,brand_name,brand,marque"	a name given to a product or service
n15167027	258112	"night,nighttime,dark"	the time after sunset and before sunrise while it is dark outside
n07003119	257101	drawing	"an illustration that is drawn by hand and published in a book, magazine, or newspaper"
n04334599	256480	street	a thoroughfare (usually including sidewalks) that is lined with buildings
n13103136	255581	"woody_plant,ligneous_plant"	a plant having hard lignified tissues or woody parts especially stems
n01471682	254474	"vertebrate,craniate"	animals having a bony or cartilaginous skeleton with a segmented spinal column and a large brain enclosed in a skull or cranium
n14580897	253998	"material,stuff"	the tangible substance that goes into the makeup of a physical object
n11439690	252956	cloud	"any collection of particles (e.g., smoke or dust) or gases that is visible"
n15165289	251752	"morning,morn,morning_time,forenoon"	the time period between dawn and noon
n08553535	249830	"residential_district,residential_area,community"	a district where people live; occupied primarily by private residences
n04968895	240680	"blue,blueness"	blue color or pigment; resembling the color of the clear sky in the daytime
n08672562	240212	settlement	an area where a group of families live together
n08499057	240041	"atmosphere,air"	the mass of air surrounding the Earth
n06825399	238122	"font,fount,typeface,face,case"	a specific size and style of type within a type family
n14642417	237166	"iron,Fe,atomic_number_26"	a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
n08438533	235730	"forest,wood,woods"	the trees and other plants in a large densely wooded area
n03743902	234934	"memorial,monument"	a structure erected to commemorate persons or events
n13163250	231307	branch	"a division of a stem, or secondary stem arising from the main stem of a plant"
n03051540	229831	"clothing,article_of_clothing,vesture,wear,wearable,habiliment"	a covering designed to be worn on a person's body
n08665504	229237	town	an urban area with a fixed boundary that is smaller than a city
n03544360	226042	house	a dwelling that serves as living quarters for one or more families
n08613472	224551	"outside,exterior"	the outer side or surface of something
n09638875	222640	"White,White_person,Caucasian"	a member of the Caucasoid race
n07993776	221988	wildlife	all living things (except people) that are undomesticated
n06209770	220343	cityscape	a viewpoint toward a city or other heavily populated area
n08641113	220086	"vicinity,locality,neighborhood,neighbourhood,neck_of_the_woods"	a surrounding or nearby region
n12102133	218909	grass	narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
n03206908	216197	dish	a piece of dishware normally used as a container for holding or serving food
n09416076	215170	"rock,stone"	a lump or mass of hard consolidated mineral matter
n06999233	214892	illustration	artwork that helps make something clear or attractive
n09433442	214135	shore	the land along the edge of a body of water
n15169421	213805	"twilight,dusk,gloaming,gloam,nightfall,evenfall,fall,crepuscule,crepuscle"	the time of day immediately following sunset
n13246662	211655	"estate,land,landed_estate,acres,demesne"	extensive landed property (especially in the country) retained by the owner for his own use
n08646902	210318	landscape	an expanse of scenery that can be seen in a single view
n08644722	209192	"country,rural_area"	an area outside of cities and towns
n08559508	207897	"home,place"	where you live at a particular time
n03569964	207871	"infrastructure,base"	the stock of basic facilities and capital equipment needed for the functioning of a country or area
n06799897	207254	line	a mark that is long relative to its width
n06387980	207230	"text,textual_matter"	the words of something written
n11425580	206020	atmospheric_phenomenon	a physical phenomenon associated with the atmosphere
n04296562	205507	stage	a large platform on which people can stand and can be seen by an audience
n04962784	204707	"red,redness"	red color or pigment; the chromatic color resembling the hue of blood
n04559275	198921	"watercourse,waterway"	a conduit through which water flows
n00401783	197587	"refreshment,recreation"	activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation
n11508382	196958	"snow,snowfall"	precipitation falling from clouds in the form of ice crystals
n15236475	194130	"season,time_of_year"	one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
n15236859	193405	"fall,autumn"	the season when the leaves fall from the trees
n13934596	192231	environment	the totality of surrounding conditions
n03417345	192180	garden	a plot of ground where plants are cultivated
n08182379	191825	crowd	a large number of things or people considered together
n07248801	191387	"ad,advertisement,advertizement,advertising,advertizing,advert"	a public promotion of some product or service
n14845743	189271	"water,H2O"	binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
n07571324	188868	"cuisine,culinary_art"	the practice or manner of preparing food or the food so prepared
n07203016	188740	"sketch,vignette"	a brief literary description
n09376198	188381	ocean	a large body of water constituting a principal part of the hydrosphere
n00097504	188202	"performance,execution,carrying_out,carrying_into_action"	the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
n08368757	186985	ecosystem	a system formed by the interaction of a community of organisms with their physical environment
n05850212	186818	"feature_of_speech,feature"	(linguistics) a distinctive characteristic of a linguistic unit that serves to distinguish it from other units of the same kind
n05254795	186800	hair	a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
n08580583	183853	"habitat,home_ground"	the type of environment in which an organism or group normally lives or occurs
n02084071	182362	"dog,domestic_dog,Canis_familiaris"	a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
n09335240	182187	"land,ground,soil"	material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)
n09225146	181708	"body_of_water,water"	the part of the earth's surface covered with water (such as a river or lake or ocean)
n09917593	181191	"child,kid,youngster,minor,shaver,nipper,small_fry,tiddler,tike,tyke,fry,nestling"	a young person of either sex
n04105893	180649	room	an area within a building enclosed by walls and floor and ceiling
n03178782	180305	"design,pattern,figure"	a decorative or artistic work
n06793426	179542	"poster,posting,placard,notice,bill,card"	a sign posted in a public place as an advertisement
n09215664	179289	"bay,embayment"	an indentation of a shoreline larger than a cove but smaller than a gulf
n04460130	178056	tower	a structure taller than its diameter; can stand alone or be attached to a larger building
n15168790	176474	"dawn,dawning,morning,aurora,first_light,daybreak,break_of_day,break_of_the_day,dayspring,sunrise,sunup,cockcrow"	the first light of day
n09303008	176401	hill	a local and well-defined elevation of the land
n15237782	176220	"winter,wintertime"	the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
n04574999	175892	wheel	a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
n13244109	175044	"property,belongings,holding"	something owned; any tangible or intangible possession that is owned by someone; 
n05564590	174881	"hand,manus,mitt,paw"	the (prehensile) extremity of the superior limb
n09411430	174791	river	a large natural stream of water (larger than a creek)
n01318894	174475	pet	a domesticated animal kept for companionship or amusement
n10339966	174219	musician	artist who composes or conducts music as a profession
n11524662	171942	"weather,weather_condition,conditions,atmospheric_condition"	the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
n04587648	171217	window	a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
n09619168	169833	"female,female_person"	a person who belongs to the sex that can have babies
n00429048	168502	"entertainment,amusement"	an activity that is diverting and that holds the attention
n08683548	168025	"wilderness,wild"	a wild and uninhabited area left in its natural condition
n03953416	166174	"place_of_worship,house_of_prayer,house_of_God,house_of_worship"	any building where congregations gather for prayer
n07020895	166091	music	an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
n04157320	164390	sculpture	a three-dimensional work of plastic art
n08674563	162590	terrain	a piece of ground having specific characteristics or military potential
n09217230	160647	beach	an area of sand sloping down to the water of a sea or lake
n08677628	160509	"venue,locale,locus"	the scene of any event or action (especially the place of a meeting)
n06157326	160099	performing_arts	arts or skills that require public performance
n00545501	159883	"singing,vocalizing"	the act of singing vocal music
n04295881	158358	"stadium,bowl,arena,sports_stadium"	a large structure for open-air sports or entertainments
n09284015	156848	"forest,woodland,timberland,timber"	land that is covered with trees and shrubs
n15137890	156326	"vacation,holiday"	leisure time away from work devoted to rest or pleasure
n15169248	154840	"sunset,sundown"	the time in the evening at which the sun begins to fall below the horizon
n13112664	153081	"shrub,bush"	a low woody perennial plant usually having several major stems
n03964744	152836	"plaything,toy"	an artifact designed to be played with
n05677504	152749	sense	a general conscious awareness
n02834778	152529	"bicycle,bike,wheel,cycle"	a wheeled vehicle that has two wheels and is moved by foot pedals
n05538625	150205	"head,caput"	the upper part of the human body or the front part of the body in animals; contains the face and brains
n05297523	149791	organ	a fully differentiated structural and functional unit in an animal that is specialized for some particular function
n03748886	148562	"merchandise,ware,product"	commodities offered for sale
n15237044	148431	"spring,springtime"	the season of growth
n02686568	147884	aircraft	a vehicle that can fly
n02151625	147429	wing	a movable organ for flying (one of a pair)
n11525955	147064	"wind,air_current,current_of_air"	air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
n08308497	143728	conference	a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
n11690455	143396	"petal,flower_petal"	part of the perianth that is usually brightly colored
n06115701	143131	geology	a science that deals with the history of the earth as recorded in rocks
n09403734	143035	"range,mountain_range,range_of_mountains,chain,mountain_chain,chain_of_mountains"	a series of hills or mountains
n04019101	142828	public_transport	conveyance for passengers or mail or freight
n09328904	140675	lake	a body of (usually fresh) water surrounded by land
n10287213	140163	"man,adult_male"	an adult person who is male (as opposed to a woman)
n09453008	140047	"tableland,plateau"	a relatively flat highland
n08570634	138771	"hayfield,meadow"	a field where grass or alfalfa are grown to be made into hay
n01503061	138718	bird	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
n15162388	137922	festival	a day or period of time set aside for feasting and celebration
n08074421	137671	signage	signs collectively (especially commercial signs or posters)
n05256862	135935	"hairdo,hairstyle,hair_style,coiffure,coif"	the arrangement of the hair (especially a woman's hair)
n08223802	134736	community	a group of people living in a particular local area
n04970916	134697	pink	a light shade of red
n07345593	133971	"wave,undulation"	(physics) a movement up and down or back and forth
n04233124	133918	skyscraper	a very tall building with many stories
n03878066	132576	"palace,castle"	a large and stately mansion
n00550771	130831	performance	the act of presenting a play or a piece of music or other entertainment
n06892775	130262	concert	a performance of music by players or singers not involving theatrical staging
n00451370	128998	cycling	the sport of traveling on a bicycle or motorcycle
n02121620	127767	"cat,true_cat"	feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n07019172	127199	"musical,musical_comedy,musical_theater"	a play or film whose action and dialogue is interspersed with singing and dancing
n08591592	126273	lawn	a field of cultivated and mowed grass
n04306847	125900	statue	a sculpture representing a human or animal
n00298161	125419	"tourism,touristry"	the business of providing services to tourists
n05311054	125418	"eye,oculus,optic"	the organ of sight
n07881800	125374	"beverage,drink,drinkable,potable"	any liquid suitable for drinking
n00449295	125320	racing	the sport of engaging in contests of speed
n08221897	124704	audience	a gathering of spectators or listeners at a (usually public) performance
n03323593	124440	fashion	consumer goods (especially clothing) in the current mode
n03405725	124438	"furniture,piece_of_furniture,article_of_furniture"	furnishings that make a room or other area ready for occupancy
n00029378	123962	event	something that happens at a given place and time
n15019030	122678	sand	a loose material consisting of grains of rock or coral
n05217168	121717	"human_body,physical_body,material_body,soma,build,figure,physique,anatomy,shape,bod,chassis,frame,form,flesh"	alternative names for the body of a human being
n04272054	120863	"spectacles,specs,eyeglasses,glasses"	optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
n05600637	120502	"face,human_face"	the front of the human head from the forehead to the chin and ear to ear
n03876519	120036	"painting,picture"	graphic art consisting of an artistic composition made by applying paints to a surface
n01905661	119996	invertebrate	any animal lacking a backbone or notochord; the term is not used as a scientific classification
n11517656	119548	sunrise	atmospheric phenomena accompanying the daily appearance of the sun
n10324560	118825	"model,poser"	a person who poses for a photographer or painter or sculptor
n09409512	118556	ridge	a long narrow natural elevation or striation
n11672400	117733	"wildflower,wild_flower"	wild or uncultivated flowering plant
n03640660	116697	lane	a well-defined track or path; for e.g. swimmers or lines of traffic
n13873917	116314	circle	something approximating the shape of a circle
n02159955	115605	insect	small air-breathing arthropod
n02858304	115226	boat	a small vessel for travel on water
n04683814	115045	beauty	the qualities that give pleasure to the senses
n11669335	113967	"flower,bloom,blossom"	reproductive organ of angiosperm plants especially one having showy or colorful parts
n05598147	113334	"nose,olfactory_organ"	the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
n11417672	111811	geological_phenomenon	a natural phenomenon involving the structure or composition of the earth
n05079866	111481	"position,posture,attitude"	the arrangement of the body and its limbs
n14524849	111346	"atmosphere,ambiance,ambience"	a particular environment or surrounding influence
n02512053	111202	fish	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n04285008	110110	"sports_car,sport_car"	a small low car with a high-powered engine; usually seats two persons
n08569998	109346	field	a piece of land cleared of trees and usually enclosed
n00942234	108991	"carving,cutting"	removing parts from hard material to create a desired pattern or shape
n04166281	108973	"sedan,saloon"	a car that is closed and that has front and rear seats and two or four doors
n04081281	108861	"restaurant,eating_house,eating_place,eatery"	a building where people go to eat
n06780678	108641	"cartoon,sketch"	a humorous or satirical drawing published in a newspaper or magazine
n06646243	108604	"sign,mark"	a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n08439022	107784	jungle	an impenetrable equatorial forest
n09468604	107226	"valley,vale"	a long depression in the surface of the land that usually contains a river
n06037666	106717	"biology,biological_science"	the science that studies living organisms
n07609840	106083	"dessert,sweet,afters"	a dish served as the last course of a meal
n08309086	105318	convention	a large formal assembly
n14881303	103690	glass	a brittle transparent solid with irregular atomic structure
n03519387	101435	"high-rise,tower_block"	tower consisting of a multistoried building of offices or apartments
n05121418	101310	"number,figure"	the property possessed by a sum or total or indefinite quantity of units or individuals
n10412055	101094	"pedestrian,walker,footer"	a person who travels by foot
n00431893	100575	"play,child's_play"	activity by children that is guided more by imagination than by fixed rules
n08619795	100518	"plaza,place,piazza"	a public square with room for pedestrians
n09246464	100235	"cliff,drop,drop-off"	a steep high face of rock
n02919792	99954	"bungalow,cottage"	a small house with a single story
n03309808	99903	"fabric,cloth,material,textile"	artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
n00030358	98838	"act,deed,human_action,human_activity"	something that people do or cause to happen
n08615374	98420	"park,commons,common,green"	a piece of open land for recreational use in an urban area
n03113657	98292	costume	the attire worn in a play or at a fancy dress ball
n10804406	97369	"young_person,youth,younker,spring_chicken"	a young person (especially a young man or boy)
n04466613	96410	trail	a path or track roughly blazed through wild or hilly country
n04078747	96400	"reservoir,artificial_lake,man-made_lake"	lake used to store water for community use
n00796315	96324	"adventure,escapade,risky_venture,dangerous_undertaking"	a wild and exciting undertaking (not necessarily lawful)
n02918595	96324	bumper	a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage
n00949619	95471	"technology,engineering"	the practical application of science to commerce or industry
n07574602	95335	breakfast	the first meal of the day (usually in the morning)
n05560244	94921	limb	one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
n00039021	94615	interaction	a mutual or reciprocal action; interacting
n06470073	92318	"document,written_document,papers"	writing that provides information (especially information of an official nature)
n08619524	91383	prairie	a treeless grassy plain
n12100538	90791	"Gramineae,family_Gramineae,Graminaceae,family_Graminaceae,Poaceae,family_Poaceae,grass_family"	the grasses: chiefly herbaceous but some woody plants including cereals; bamboo; reeds; sugar cane
n05853820	90252	tourist_attraction	a characteristic that attracts tourists
n10151760	89979	"guitarist,guitar_player"	a musician who plays the guitar
n13129165	89145	"stalk,stem"	a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n04970059	88728	"purple,purpleness"	a purple color or pigment
n13886133	88252	arch	a curved shape in the vertical plane that spans an opening
n01104406	87738	"agribusiness,agriculture,factory_farm"	a large-scale farming enterprise
n07950920	87040	social_group	people sharing some social relation
n09393605	86674	"plain,field,champaign"	extensive tract of level open land
n09341987	86347	loch	a long narrow inlet of the sea in Scotland (especially when it is nearly landlocked)
n05238282	85311	"skin,tegument,cutis"	a natural protective body covering and site of the sense of touch
n04530566	85147	"vessel,watercraft"	a craft designed for water transportation
n03028079	84705	"church,church_building"	a place for public (especially Christian) worship
n00609953	84695	profession	an occupation requiring special education (especially in the liberal arts or sciences)
n08208560	84338	"team,squad"	a cooperative unit (especially in sports)
n05560787	82827	leg	a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
n05064827	82703	"symmetry,symmetricalness,correspondence,balance"	(mathematics) an attribute of a shape or relation; exact reflection of form on opposite sides of a dividing line or plane
n08554440	81551	"suburb,suburbia,suburban_area"	a residential district located on the outskirts of a city
n02898711	81312	"bridge,span"	a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
n13099999	80982	deciduous_plant	a plant having foliage that is shed annually at the end of the growing season
n00929718	80807	"writing,authorship,composition,penning"	the act of creating written works
n00440747	80514	skiing	a sport in which participants must travel on skis
n09477890	80448	wetland	a low area where the land is saturated with water
n09397391	80187	"pond,pool"	a small lake
n15147850	79917	adolescence	the time period between the beginning of puberty and adulthood
n00471437	79895	"ball_game,ballgame"	a field game played with a ball (especially baseball)
n03236735	79648	"dress,frock"	a one-piece garment for a woman; has skirt and bodice
n04610879	78475	"yard,grounds,curtilage"	the enclosed land around a house or other building
n15121406	78251	history	the aggregate of past events
n14769465	78015	asphalt	mixed asphalt and crushed gravel or sand; used especially for paving but also for roofing
n08433727	78015	"aviation,air_power"	the aggregation of a country's military aircraft
n03665366	77733	"light,light_source"	any device serving as a source of illumination
n03800933	77730	"musical_instrument,instrument"	any of various devices or contrivances that can be used to produce musical tones or sounds
n05261404	77720	facial_hair	hair on the face (especially on the face of a man)
n03122748	77488	covering	an artifact that covers something else (usually to protect or shelter or conceal it)
n02772197	77296	backyard	the grounds in back of a house
n04679738	76766	"expression,look,aspect,facial_expression,face"	the feelings expressed on a person's face
n07450842	76164	"ceremony,ceremonial,ceremonial_occasion,observance"	a formal event performed on a special occasion
n03485655	75691	"handicraft,handcraft,handiwork,handwork"	a work produced by hand labor
n09605289	75542	"adult,grownup"	a fully developed person from maturity onward
n14562324	75459	"ruin,ruination"	an irrecoverable state of devastation and destruction
n10129825	74916	"girl,miss,missy,young_lady,young_woman,fille"	a young woman
n06878071	74880	"smile,smiling,grin,grinning"	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
n08598301	74820	grassland	land where grass or grasslike vegetation grows and is the dominant form of plant life
n07575076	74769	"lunch,luncheon,tiffin,dejeuner"	a midday meal
n04544979	74295	"walk,walkway,paseo"	a path set aside for walking
n12212361	73706	vegetable	any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower
n07458453	73626	race	a contest of speed
n10787470	73137	"woman,adult_female"	an adult female person (as opposed to a man)
n02723754	72928	antique	any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
n10714465	72819	"toddler,yearling,tot,bambino"	a young child
n00283568	72778	"walk,walking"	the act of traveling by foot
n02880546	72493	"bowed_stringed_instrument,string"	stringed instruments that are played with a bow
n08619620	71857	"public_square,square"	an open area at the meeting of two or more streets
n09233715	71355	"cape,ness"	a strip of land projecting into a body of water
n07238694	71315	"address,speech"	the act of delivering a formal spoken communication to an audience
n10243137	71302	lady	a polite name for any woman
n00883297	71049	"education,instruction,teaching,pedagogy,didactics,educational_activity"	the activities of educating or instructing; activities that impart knowledge or skill
n08226699	71003	"village,small_town,settlement"	a community of people smaller than a town
n07480068	70381	emotion	any strong feeling
n03007130	68999	chapel	a place of worship that has its own altar
n03519981	68427	"highway,main_road"	a major road for any form of motor transport
n01758308	68320	"beak,bill,neb,nib,pecker"	horny projecting mouth of a bird
n07884567	68118	"alcohol,alcoholic_drink,alcoholic_beverage,intoxicant,inebriant"	a liquor or brew containing alcohol as the active agent
n10285313	67890	"male_child,boy"	a youthful male person
n00315390	67780	"boating,yachting"	water travel for pleasure
n09820263	67735	"athlete,jock"	a person trained to compete in sports
n03079136	67399	"compact,compact_car"	a small and economical car
n00468480	66769	"football,football_game"	any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
n03294048	66337	equipment	an instrumentality needed for an undertaking or to perform a service
n03210940	65806	"display,presentation"	a visual representation of something
n03381126	64941	footwear	clothing worn on a person's feet
n08199025	64261	"military,armed_forces,armed_services,military_machine,war_machine"	the military forces of a nation
n04285146	63952	sports_equipment	equipment needed to participate in a particular sport
n04971928	63565	"brown,brownness"	an orange of low brightness and saturation
n02984061	63325	cathedral	any large and important church
n04105068	63317	roof	a protective covering that covers or forms the top of a building
n00302394	63055	"flight,flying"	an instance of traveling by air
n04194289	62811	ship	a vessel that carries passengers or freight
n13134947	62708	fruit	the ripened reproductive body of a seed plant
n02671780	62469	"accessory,accoutrement,accouterment"	"clothing that is worn or carried, but not part of your main clothing"
n02691156	62411	"airplane,aeroplane,plane"	an aircraft that has a fixed wing and is powered by propellers or jets
n03781244	62159	monastery	the residence of a religious community
n08651247	61969	"site,land_site"	the piece of land on which something is located (or is to be located)
n09450163	61809	"sun,Sun"	the star that is the source of light and heat for the planets in the solar system
n09860506	61774	"blond,blonde"	a person with fair skin and hair
n05849789	61610	"feature,characteristic"	a prominent attribute or aspect of something
n02729965	61501	"appliance,contraption,contrivance,convenience,gadget,gizmo,gismo,widget"	a device or control that is very useful for a particular job
n07649854	61448	meat	the flesh of animals (including fishes and birds and snails) used as food
n02990373	61421	ceiling	the overhead upper surface of a covered space
n08439126	61290	"rain_forest,rainforest"	a forest with heavy annual rainfall
n03799710	60995	"mural,wall_painting"	a painting that is applied to a wall surface
n00344259	60785	sitting	the act of assuming or maintaining a seated position
n07970406	60767	"family,family_unit"	primary social group; parents and children
n03933529	60763	"pier,wharf,wharfage,dock"	a platform built out from the shore into the water and supported by piles; provides access to ships and boats
n10317007	60302	"military_officer,officer"	any person in the armed services who holds a position of authority or command
n03699975	60298	machine	any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
n00451635	60069	motorcycling	riding a motorcycle
n09448361	59953	"stream,watercourse"	a natural body of running water flowing on or under the earth
n09387222	59596	"path,track,course"	a line or route along which something travels or moves
n00298497	59578	driving	the act of controlling and steering the movement of a vehicle or animal
n03249569	59268	"drum,membranophone,tympan"	a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end
n10439851	59167	"player,participant"	a person who participates in or is skilled at some game
n03322099	59135	farm	workplace consisting of farm buildings and cultivated land as a unit
n10624540	58220	"songwriter,songster,ballad_maker"	a composer of words or music for popular songs
n00887544	58202	team_sport	a sport that involves competition between teams of players
n04946877	57147	texture	the feel of a surface or a fabric
n03726760	56948	mast	a vertical spar for supporting sails
n03467517	56641	guitar	a stringed instrument usually having six strings; played by strumming or plucking
n05566504	56390	finger	any of the terminal members of the hand (sometimes excepting the thumb)
n05563770	56204	arm	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n12581381	55788	"Palmae,family_Palmae,Palmaceae,family_Palmaceae,Arecaceae,family_Arecaceae,palm_family"	chiefly tropical trees and shrubs and vines usually having a tall columnar trunk bearing a crown of very large leaves; coextensive with the order Palmales
n13246475	55759	"real_property,real_estate,realty,immovable"	property consisting of houses and land
n00237078	55605	"constitution,establishment,formation,organization,organisation"	the act of forming or establishing something
n10480253	55541	"professional,professional_person"	a person engaged in one of the learned professions
n04097527	55204	road_surface	the paved surface of a paved roadway
n08616050	54677	"pasture,pastureland,grazing_land,lea,ley"	a field covered with grass or herbage and suitable for grazing by livestock
n03931765	54031	picture_frame	a framework in which a picture is mounted
n09842629	53569	bassist	a musician who play the bass viol
